SYMBOL,COMPANY_NAME
360ONE,360 ONE WAM Ltd
ABB,ABB India Ltd
ACC,ACC Ltd
ADANIENT,Adani Enterprises Ltd
ADANIGREEN,Adani Green Energy Ltd
ADANIPORTS,Adani Ports & Special Economic Zone Ltd
ADANIPOWER,Adani Power Ltd
ALKEM,Alkem Laboratories Ltd
AMBUJACEM,Ambuja Cements Ltd
ANGELONE,Angel One Ltd
APLAPOLLO,APL Apollo Tubes Ltd
APOLLOHOSP,Apollo Hospitals Enterprise Ltd
ASHOKLEY,Ashok Leyland Ltd
ASIANPAINT,Asian Paints Ltd
ASTRAL,Astral Ltd
ATGL,Adani Total Gas Ltd
AUROPHARMA,Aurobindo Pharma Ltd
AXISBANK,Axis Bank Ltd
BAJAJ-AUTO,Bajaj Auto Ltd
BAJAJFINSV,Bajaj Finserv Ltd
BAJFINANCE,Bajaj Finance Ltd
BALKRISIND,Balkrishna Industries Ltd
BANDHANBNK,Bandhan Bank Ltd
BANKBARODA,Bank of Baroda Ltd
BEL,Bharat Electronics Ltd
BHARATFORG,Bharat Forge Ltd
BHARTIARTL,Bharti Airtel Ltd
BHEL,Bharat Heavy Electricals Ltd
BIOCON,Biocon Ltd
BOSCHLTD,Bosch Ltd
BPCL,Bharat Petroleum Corporation Ltd
BRITANNIA,Britannia Industries Ltd
BSE,BSE Ltd
CANBK,Canara Bank Ltd
CDSL,Central Depository Services Ltd
CGPOWER,CG Power & Industrial Solutions Ltd
CHOLAFIN,Cholamandalam Investment & Finance Co Ltd
CIPLA,Cipla Ltd
COALINDIA,Coal India Ltd
COCHINSHIP,Cochin Shipyard Ltd
COLPAL,Colgate-Palmolive (India) Ltd
CONCOR,Container Corporation of India Ltd
CUMMINSIND,Cummins India Ltd
CYIENT,Cyient Ltd
DABUR,Dabur India Ltd
DELHIVERY,Delhivery Ltd
DIVISLAB,Divi's Laboratories Ltd
DIXON,Dixon Technologies (India) Ltd
DLF,DLF Ltd
DMART,Avenue Supermarts Ltd
DRREDDY,Dr. Reddy's Laboratories Ltd
EICHERMOT,Eicher Motors Ltd
ESCORTS,Escorts Kubota Ltd
FEDERALBNK,Federal Bank Ltd
GAIL,GAIL (India) Ltd
GLENMARK,Glenmark Pharmaceuticals Ltd
