ticker,name,sector
RELIANCE,Reliance Industries,Energy
TCS,Tata Consultancy Services,IT
HDFCBANK,HDFC Bank,Financials
ICICIBANK,ICICI Bank,Financials
INFY,Infosys,IT
HINDUNILVR,Hindustan Unilever,FMCG
ITC,ITC,FMCG
SBIN,State Bank of India,Financials
BHARTIARTL,Bharti Airtel,Telecom
KOTAKBANK,Kotak Mahindra Bank,Financials
LT,Larsen & Toubro,Infra/Capital Goods
AXISBANK,Axis Bank,Financials
BAJFINANCE,Bajaj Finance,Financials
ASIANPAINT,Asian Paints,Consumer
MARUTI,Maruti Suzuki,Auto
SUNPHARMA,Sun Pharmaceutical,Pharma
TITAN,Titan Company,Consumer
ULTRACEMCO,UltraTech Cement,Cement
NESTLEIND,Nestle India,FMCG
WIPRO,Wipro,IT
ADANIENT,Adani Enterprises,Diversified
ADANIPORTS,Adani Ports,Infra
ONGC,Oil & Natural Gas Corp,Energy
NTPC,NTPC,Power/Utilities
POWERGRID,Power Grid Corp,Power/Utilities
TATASTEEL,Tata Steel,Metals
TATAMOTORS,Tata Motors,Auto
JSWSTEEL,JSW Steel,Metals
HCLTECH,HCL Technologies,IT
TECHM,Tech Mahindra,IT
M&M,Mahindra & Mahindra,Auto
BAJAJFINSV,Bajaj Finserv,Financials
DRREDDY,Dr Reddy's Labs,Pharma
CIPLA,Cipla,Pharma
DIVISLAB,Divi's Laboratories,Pharma
GRASIM,Grasim Industries,Cement/Diversified
HINDALCO,Hindalco Industries,Metals
COALINDIA,Coal India,Energy/Mining
BPCL,Bharat Petroleum,Energy
EICHERMOT,Eicher Motors,Auto
HEROMOTOCO,Hero MotoCorp,Auto
BRITANNIA,Britannia Industries,FMCG
SHREECEM,Shree Cement,Cement
UPL,UPL,Chemicals/Agri
INDUSINDBK,IndusInd Bank,Financials
SBILIFE,SBI Life Insurance,Insurance
HDFCLIFE,HDFC Life Insurance,Insurance
BAJAJ-AUTO,Bajaj Auto,Auto
APOLLOHOSP,Apollo Hospitals,Healthcare
LTIM,LTIMindtree,IT
TATACONSUM,Tata Consumer Products,FMCG
